id,item_id,topics,strong_topic,all_topics
145322,145304,"[0.09999157 0.09999137 0.09999528 0.09999114 0.09999116 0.09999196
 0.10000848 0.09999446 0.10004903 0.09999557]",0.179990196,1.1500000000001786e-05
141452,141440,"[0.1503091  0.08557976 0.06093947 0.10724508 0.15404345 0.16180886
 0.00500612 0.14637558 0.00584194 0.12285063]",0.16763822764999997,0.04852654115
137185,137177,"[0.15207599 0.14139383 0.07885839 0.14031544 0.09835767 0.16267718
 0.00050905 0.09445839 0.000509   0.13084508]",0.16746456635999998,0.04546150164
140362,140348,"[0.16578963 0.15513083 0.03114283 0.06785131 0.15511799 0.1589585
 0.02911465 0.0859001  0.00117041 0.14982381]",0.16684207946,0.05696414654000001
137311,137303,"[0.16354188 0.08227015 0.0095844  0.00040741 0.16539584 0.1424854
 0.17190997 0.10516969 0.00447264 0.15476266]",0.16561800971199997,0.060653084288
126787,126782,"[0.15346938 0.15001248 0.10956472 0.17757812 0.04423946 0.13773584
 0.00034777 0.16758937 0.00034774 0.05911507]",0.16448437079399997,0.059189987206
129397,129386,"[0.17771675 0.16165593 0.07586453 0.16928743 0.03433477 0.02949531
 0.01680921 0.1699637  0.0003732  0.1644992 ]",0.16445665204199997,0.06862459995800001
130650,130646,"[0.06920472 0.1780004  0.06978042 0.15911658 0.12103539 0.07373213
 0.00098395 0.15552565 0.00098392 0.17163685]",0.16439992162,0.05706297238000001
136929,136925,"[0.13267739 0.1222576  0.08641919 0.0395782  0.17809148 0.16727977
 0.0123528  0.10908312 0.00037965 0.15188086]",0.16438171030299997,0.052254036897
131511,131507,"[0.15535982 0.17915732 0.01669838 0.16667956 0.10184453 0.13288355
 0.05170513 0.16747615 0.00080228 0.02739327]",0.16416853501999998,0.06068018698000001
135155,135140,"[0.00166944 0.17300817 0.10798627 0.18246223 0.16987392 0.1565313
 0.00166903 0.04658342 0.00166901 0.1585472 ]",0.16350755355999996,0.06968181843999999
129000,128987,"[0.15143278 0.01926269 0.18557824 0.1497865  0.13881326 0.17106932
 0.0491101  0.134456   0.00024552 0.00024558]",0.16288435080199998,0.066227221198
131914,131906,"[0.16383411 0.18643044 0.16157077 0.05650693 0.1036116  0.03990342
 0.00059232 0.14983684 0.13712105 0.00059247]",0.16271390767,0.06048096633
137749,137744,"[0.17153181 0.15718652 0.13445234 0.00196461 0.17931382 0.18685424
 0.00196401 0.16280429 0.00196399 0.00196432]",0.16262914712999998,0.07842860886999999
140541,140537,"[0.04703802 0.17762096 0.00050344 0.17214745 0.15491885 0.18729156
 0.01278822 0.11782247 0.0005034  0.1293656 ]",0.16254168495,0.06783338105000002
131808,131801,"[0.18898156 0.00109302 0.05488211 0.14353122 0.13506275 0.18155365
 0.00109268 0.10495279 0.00109268 0.18775752]",0.16220368583999997,0.06836790016
145903,145892,"[0.07834271 0.12339925 0.00766284 0.17572944 0.07742011 0.1612931
 0.19216399 0.00032387 0.00032378 0.18334094]",0.16156720619599999,0.067185339804
136933,136925,"[0.19231202 0.09918799 0.00051121 0.13719891 0.12408663 0.16060719
 0.02073979 0.07115326 0.00051112 0.19369188]",0.16126162468,0.061579325319999996
138557,138542,"[0.17604817 0.19449615 0.00688162 0.13063017 0.15343073 0.16709179
 0.00047475 0.09016324 0.00047472 0.08030869]",0.161100773254,0.064339398746
131932,131927,"[0.15203416 0.11522351 0.12156601 0.15051621 0.10042872 0.19493583
 0.00051153 0.03451805 0.0107669  0.11949906]",0.16101283007,0.05084070193
128842,128840,"[0.14865245 0.19119267 0.05353338 0.19546057 0.02553659 0.18718408
 0.08279652 0.11490907 0.00036723 0.00036736]",0.160907879204,0.06747977579600001
139558,139550,"[0.17839351 0.10155378 0.10898447 0.16744958 0.1608401  0.0829315
 0.00059219 0.19807033 0.00059219 0.00059235]",0.16038593337700002,0.063058354623
135541,135539,"[0.1115265  0.17653155 0.05963692 0.20032933 0.0013716  0.18244903
 0.00137122 0.0820294  0.00137116 0.18338333]",0.15993413819000002,0.07084394461
137814,137807,"[0.19637576 0.19089785 0.03098278 0.0752415  0.1101699  0.19199479
 0.20071241 0.00120851 0.00120817 0.00120834]",0.1598575183,0.07803014069999999
